通知人,标题,日期,详情链接,附件名,附件下载次数,附件链接码
【质量办】,关于举办福州大学第八十场“教学有道”暨数字媒体艺术教学专题研讨会的通知,2026-03-24,https://jwch.fzu.edu.cn/info/1040/14555.htm,无附件,0,无
【教学运行】,关于做好2026-2027学年第一学期排课准备工作的通知,2026-03-23,https://jwch.fzu.edu.cn/info/1036/14552.htm,无附件,0,无
【实践科】,关于报名参加2026年第十二届全国大学生统计建模大赛的通知,2026-03-19,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14548,无附件,0,无
【电教中心】,关于开展智慧教室及课程中心使用培训的通知,2026-03-17,https://jwch.fzu.edu.cn/info/1041/14546.htm,无附件,0,无
【实践科】,关于举办2026年第二十三届福州大学程序设计竞赛暨ACM-ICPC校集训队选拔赛的通知,2026-03-17,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14544,无附件,0,无
【计划科】,关于2025-2026学年第二学期爱课程平台参加通识教育选修课学习的重要提示,2026-03-16,https://jwch.fzu.edu.cn/info/1038/14543.htm,无附件,0,无
【实践科】,关于举办福州大学2026年第十七届企业经营模拟沙盘对抗赛的通知,2026-03-13,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14541,无附件,0,无
【教学运行】,关于2025-2026学年第二学期重新学习选课、缴费的通知,2026-03-13,https://jwch.fzu.edu.cn/info/1036/14540.htm,无附件,0,无
【综合科】,关于召开2025-2026学年春季学期期初本科教育教学工作会议的通知,2026-03-12,https://jwch.fzu.edu.cn/info/1035/14539.htm,无附件,0,无
【实践科】,关于举办福州大学2026年第十五届大学生软件设计与服务外包创新创业竞赛的通知,2026-03-10,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14537,无附件,0,无
【质量办】,关于举办福州大学第七十九场“教学有道”研讨活动的通知,2026-03-10,https://jwch.fzu.edu.cn/info/1040/14536.htm,无附件,0,无
【计划科】,关于公布2025-2026学年第二学期通选课取消开课名单的通知,2026-03-09,https://jwch.fzu.edu.cn/info/1038/14535.htm,无附件,0,无
【实践科】,关于开展2025年学院教学有关数据统计工作的通知,2026-03-06,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14528,无附件,0,无
【实践科】,关于公布大学生学科竞赛级别认定结果的通知,2026-03-06,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14534,无附件,0,无
【实践科】,关于举办福州大学第十二届桥梁设计大赛的通知,2026-03-06,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14533,无附件,0,无
【教学运行】,关于做好2026年3月退役复学学生转专业的通知,2026-03-05,https://jwch.fzu.edu.cn/info/1036/14532.htm,福州大学参军退伍复学后学生转专业审批表.doc,273,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16766331
【综合科】,关于2025-2026学年第二学期本科生学生证补办和火车票优惠区间更改的通知,2026-03-01,https://jwch.fzu.edu.cn/info/1035/14525.htm,无附件,0,无
【教学运行】,关于2025-2026学年第二学期学期选课、辅修选课补退选的通知,2026-02-28,https://jwch.fzu.edu.cn/info/1036/14524.htm,无附件,0,无
【计划科】,关于通识教育选修课《国际化拔尖创新人才科研训练2026春》宣讲会及选课的通知,2026-02-28,https://jwch.fzu.edu.cn/info/1038/14522.htm,2026年春季国际化拔尖创新人才科研训练具体课程清单.xlsx,927,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16765559
【计划科】,关于2025-2026学年第二学期参加《大学生国家安全教育》课程学习的通知,2026-02-28,https://jwch.fzu.edu.cn/info/1038/14520.htm,超星尔雅使用手册（学生版）.pdf,1569,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16765550
【计划科】,关于2025-2026学年第二学期港澳台侨学生思政课和军事课程退选替代的通知,2026-02-28,https://jwch.fzu.edu.cn/info/1038/14518.htm,2025-2026学年第二学期国情课列表.docx,788,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16765549
【计划科】,关于2025-2026学年第二学期通识教育选修课选课的通知,2026-02-28,https://jwch.fzu.edu.cn/info/1038/14517.htm,智慧树学生手册.pptx; 超星尔雅使用手册（学生版）.pdf; 慕课堂学生操作手册.pdf,1656; 1446; 1106,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16765546; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16765547; https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16765548
【教材中心】,关于2025-2026学年第二学期教材发放的通知,2026-02-27,https://jwch.fzu.edu.cn/info/1042/14515.htm,无附件,0,无
【教学运行】,关于2025-2026学年第二学期体育理论教室安排的通知,2026-02-27,https://jwch.fzu.edu.cn/info/1036/14514.htm,无附件,0,无
【综合科】,教务处关于2026年寒假工作安排的通知,2026-01-30,https://jwch.fzu.edu.cn/info/1035/14511.htm,教务处2026年寒假值班表（jwch）.xlsx,725,https://jwch.fzu.edu.cn/system/_content/download.jsp?urltype=news.DownloadAttachUrl&owner=1744984858&wbfileid=16764328
【实践科】,关于做好2026年（总第三十二期）本科生科研训练计划立项申报工作的通知,2026-01-23,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14508,无附件,0,无
【实践科】,关于做好2026届本科生毕业设计（论文）工作的通知,2026-01-21,https://jwch.fzu.edu.cn/content.jsp?urltype=news.NewsContentUrl&wbtreeid=1039&wbnewsid=14506,无附件,0,无
【教学运行】,关于2025-2026学年第二学期辅修专业选课的通知,2026-01-19,https://jwch.fzu.edu.cn/info/1036/14503.htm,无附件,0,无
